20.018999265319042, 
19.609350730748723, 
17.920694141189927, 
16.291975635984805, 
16.889539246052927, 
16.529135016562563, 
17.64500738886375, 
17.76850868758445, 
17.432400413608093, 
15.342779867877098, 
14.702277112030938, 
13.677006391681811, 
12.297596725023698, 
11.348152632252761, 
10.590797912976218, 
10.540697855179427, 
10.437401929368086, 
11.192018733146167, 
11.12822973379413, 
10.95901657792519, 
11.076579807735586, 
10.966867341087124, 
11.214478861919797, 
11.905097548524186, 
11.497778929797164, 
11.639029581589197, 
12.016416431504506, 
11.952318863183155, 
11.837606152281044, 
11.158897045607443, 
10.137929997207095, 
10.870965667236657, 
11.397100056999374, 
12.110275198122888, 
12.825356114527391, 
13.211027462364584, 
13.726451079475066
