"[25, 1]","[2, 30]","[2, 30]"
37.013511046643494,0.0,0.0
"[25, 0]","[25, 0]","[25, 0]"
37.8021163428716,37.8021163428716,37.8021163428716
"[24, 1]","[25, 1]","[26, 1]"
36.40054944640259,37.013511046643494,37.64306044943742
"[23, 2]","[24, 2]","[26, 2]"
35.0,35.608987629529715,36.87817782917155
"[22, 3]","[23, 3]","[26, 3]"
33.60059523282288,34.20526275297414,36.124783736376884
"[21, 4]","[22, 4]","[26, 4]"
32.202484376209235,32.802438933713454,35.38361202590826
"[20, 4]","[21, 4]","[26, 5]"
31.622776601683793,32.202484376209235,34.655446902326915
"[19, 4]","[20, 4]","[26, 6]"
31.064449134018133,31.622776601683793,33.94112549695428
"[18, 4]","[19, 4]","[26, 7]"
30.528675044947494,31.064449134018133,33.24154027718932
"[17, 5]","[18, 4]","[25, 8]"
29.154759474226502,30.528675044947494,31.827660925679098
"[16, 6]","[17, 5]","[24, 9]"
27.784887978899608,29.154759474226502,30.4138126514911
"[15, 7]","[17, 6]","[23, 10]"
26.419689627245813,28.30194339616981,29.0
"[14, 8]","[17, 7]","[23, 11]"
25.059928172283335,27.459060435491963,28.319604517012593
"[13, 9]","[16, 8]","[23, 12]"
23.706539182259394,26.076809620810597,27.65863337187866
"[13, 10]","[15, 9]","[22, 13]"
22.825424421026653,24.698178070456937,26.248809496813376
"[13, 11]","[14, 10]","[21, 13]"
21.95449840010015,23.323807579381203,25.495097567963924
"[13, 12]","[13, 11]","[20, 14]"
21.095023109728988,21.95449840010015,24.08318915758459
"[12, 13]","[13, 12]","[19, 15]"
19.72308292331602,21.095023109728988,22.67156809750927
"[11, 14]","[12, 13]","[18, 15]"
18.35755975068582,19.72308292331602,21.93171219946131
"[11, 15]","[11, 14]","[17, 15]"
17.4928556845359,18.35755975068582,21.213203435596427
"[11, 16]","[11, 15]","[16, 15]"
16.64331697709324,17.4928556845359,20.518284528683193
"[10, 17]","[11, 16]","[15, 16]"
15.264337522473747,16.64331697709324,19.1049731745428
"[10, 18]","[10, 17]","[14, 16]"
14.422205101855956,15.264337522473747,18.439088914585774
"[10, 19]","[10, 18]","[13, 16]"
13.601470508735444,14.422205101855956,17.804493814764857
"[10, 20]","[10, 19]","[12, 17]"
12.806248474865697,13.601470508735444,16.401219466856727
"[9, 21]","[10, 20]","[12, 18]"
11.40175425099138,12.806248474865697,15.620499351813308
"[8, 22]","[9, 21]","[12, 19]"
10.0,11.40175425099138,14.866068747318506
"[8, 23]","[8, 22]","[11, 20]"
9.219544457292887,10.0,13.45362404707371
"[7, 24]","[8, 23]","[10, 21]"
7.810249675906654,9.219544457292887,12.041594578792296
"[6, 25]","[7, 24]","[9, 22]"
6.4031242374328485,7.810249675906654,10.63014581273465
"[5, 26]","[6, 25]","[8, 23]"
5.0,6.4031242374328485,9.219544457292887
"[4, 27]","[5, 26]","[7, 24]"
3.605551275463989,5.0,7.810249675906654
"[3, 28]","[4, 27]","[6, 25]"
2.23606797749979,3.605551275463989,6.4031242374328485
"[2, 29]","[3, 28]","[5, 26]"
1.0,2.23606797749979,5.0
0,"[2, 29]","[4, 27]"
0,1.0,3.605551275463989
0,0,"[3, 28]"
0,0,2.23606797749979
0,0,"[2, 29]"
0,0,1.0
