20.648296799556356, 
20.806461172846582, 
21.74863006657976, 
21.608727548993784, 
17.49481022545869, 
18.31856675469237, 
18.38597556745055, 
15.77090343537569, 
13.517959288520323, 
14.378614460963625, 
14.485395714807295, 
15.307932928472773, 
14.736078881400191, 
14.513826159076208, 
14.072422285856735, 
13.256943645537932, 
12.31441960098347, 
11.952509606286362, 
13.079582521126293, 
12.729151162525124, 
11.675961767708412, 
12.566436255272222, 
12.71138191263595, 
12.592777778323004, 
10.749482634052843, 
10.098145747277357, 
10.297665224144176, 
9.444843403052644, 
9.955449625910699, 
10.975108069232896, 
11.885391282039393, 
13.06378651448642, 
13.219381110786745, 
13.578747944007679
